x t displacements rotations f k_LL k_LR k_RL k_RR
1.100000000000000006e-01 1.000000000000000056e-01 2.402047138888891743e-03 3.891644986832491033e-04 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
1.199999999999999956e-01 1.000000000000000056e-01 2.415530371831890299e-03 3.676559575573100716e-04 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
1.300000000000000044e-01 1.000000000000000056e-01 2.428786349883924837e-03 3.437134919215247214e-04 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
1.400000000000000133e-01 1.000000000000000056e-01 2.441790733786038982e-03 3.173370988473356454e-04 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
1.499999999999999944e-01 1.000000000000000056e-01 2.454519184248502364e-03 2.885267751119362191e-04 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
1.600000000000000033e-01 1.000000000000000056e-01 2.466947361947869830e-03 2.572825171982727152e-04 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
1.700000000000000122e-01 1.000000000000000056e-01 2.479050927524037180e-03 2.236043212950490199e-04 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
1.799999999999999933e-01 1.000000000000000056e-01 2.490805541577296913e-03 1.874921832967304820e-04 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
1.900000000000000022e-01 1.000000000000000056e-01 2.502186864665393532e-03 1.489460988035483575e-04 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
2.000000000000000111e-01 1.000000000000000056e-01 2.513170557300581018e-03 1.079660631215047977e-04 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
2.099999999999999922e-01 1.000000000000000056e-01 2.523732279946679438e-03 6.455207126237801215e-05 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
2.200000000000000011e-01 1.000000000000000056e-01 2.533847693016129388e-03 1.870411794372739522e-05 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
2.300000000000000100e-01 1.000000000000000056e-01 2.543492456867050763e-03 -2.957780241110000613e-05 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
2.399999999999999911e-01 1.000000000000000056e-01 2.552642231800297638e-03 -8.029369567296362406e-05 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
2.500000000000000000e-01 1.000000000000000056e-01 2.561272678056516171e-03 -1.334435680069240369e-04 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
2.600000000000000089e-01 1.000000000000000056e-01 2.569365773054249191e-03 -1.890282190165529610e-04 0.000000000000000000e+00 7.000000000000000000e+05 1.000000000000000000e+10 9.000000000000000000e+04 9.000000000000000000e+04
